,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
45,-2.4450849326812825,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
46,0.1330026582870887,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
47,0.8954839154935024,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
48,-3.7166405351945757,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
49,-0.7059530323595528,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
50,-0.3142561215990237,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
51,-0.18077219507206663,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
52,-4.337362393408859,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
53,-1.6810761721943002,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
54,-0.7317083888863636,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.9,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
